
2025/10/03 (12:26:52) | ===> btop++ v.1.3.0
2025/10/03 (12:26:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/04 (00:47:02) | ===> btop++ v.1.3.0
2025/10/04 (00:47:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/09 (01:23:50) | ===> btop++ v.1.3.0
2025/10/09 (01:23:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/10/16 (12:50:45) | ===> btop++ v.1.3.0
2025/10/16 (12:50:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/12/02 (21:50:55) | ===> btop++ v.1.3.0
2025/12/02 (21:50:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/12/04 (17:55:17) | ===> btop++ v.1.3.0
2025/12/04 (17:55:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/12/14 (14:24:26) | ===> btop++ v.1.3.0
2025/12/14 (14:24:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/12/25 (20:17:42) | ===> btop++ v.1.3.0
2025/12/25 (20:17:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/01/08 (17:31:13) | ===> btop++ v.1.3.0
2026/01/08 (17:31:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
